     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.29962E+00   0.62234E-01   0.13967E+01   0.17181E-02   0.30051E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.30411E+00   0.58460E-01   0.13879E+01   0.16769E-02   0.27149E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.30867E+00   0.54811E-01   0.13789E+01   0.16355E-02   0.24461E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.31329E+00   0.51290E-01   0.13698E+01   0.15939E-02   0.21977E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.31799E+00   0.47900E-01   0.13606E+01   0.15520E-02   0.19689E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.32276E+00   0.44643E-01   0.13513E+01   0.15101E-02   0.17587E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.32760E+00   0.41519E-01   0.13418E+01   0.14681E-02   0.15662E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.33251E+00   0.38531E-01   0.13323E+01   0.14260E-02   0.13905E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.33749E+00   0.35677E-01   0.13226E+01   0.13840E-02   0.12304E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.34255E+00   0.32959E-01   0.13128E+01   0.13420E-02   0.10852E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.34769E+00   0.30376E-01   0.13028E+01   0.13002E-02   0.95393E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.35290E+00   0.27927E-01   0.12928E+01   0.12585E-02   0.83556E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.35819E+00   0.25610E-01   0.12826E+01   0.12170E-02   0.72924E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.36356E+00   0.23425E-01   0.12723E+01   0.11758E-02   0.63408E-07   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
